country,Source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
Thailand,NP/CTS," 	5,142 "," 	5,020 "," 	4,538 "," 	6,434 "," 	4,273 "," 	4,806 "," 	4,687 "," 	4,435 "," 	3,974 "," 	3,703 "," 	3,654 "," 	3,307 "," 	3,323 "," 	2,894 "," 	2,649 "," 	2,387 "," 	2,229 ",
Timor-Leste,UNMIT/NSO,,,,, 	23 , 	46 , 	49 , 	62 , 	35 , 	32 , 	39 ,,,,, 	49 ,,
Viet Nam,WHO,," 	1,004 "," 	1,067 "," 	1,059 "," 	1,063 "," 	1,053 "," 	1,048 "," 	1,168 "," 	1,092 "," 	1,233 "," 	1,336 "," 	1,358 ",,,,,,
Afghanistan,NSO,,,,,,,,,," 	1,115 ", 	983 ," 	1,231 "," 	1,948 ",,,,,
Bangladesh,NP," 	3,343 "," 	3,678 "," 	3,503 "," 	3,471 "," 	3,902 "," 	3,592 "," 	4,166 "," 	3,863 "," 	4,099 "," 	4,219 "," 	3,988 "," 	3,966 "," 	4,114 "," 	4,393 "," 	4,514 "," 	4,035 ",,
Bhutan,NSO/CTS, 	18 , 	19 , 	19 , 	5 , 	15 , 	11 , 	9 , 	14 , 	18 , 	16 , 	16 , 	32 , 	33 , 	24 ,, 	12 , 	9 ,
India,MOI," 	51,344 "," 	49,403 "," 	48,711 "," 	44,331 "," 	46,490 "," 	45,095 "," 	45,099 "," 	45,362 "," 	45,999 "," 	45,824 "," 	46,460 "," 	47,640 "," 	47,478 "," 	45,878 "," 	47,356 "," 	44,385 "," 	42,678 ",
Iran (Islamic Republic of),CTS/NSO/MD,,,," 	1,803 "," 	2,015 ",,,,," 	2,215 ",,,," 	2,037 "," 	1,936 ",,,
Maldives,UNSDC/CTS,, 	7 , 	8 , 	4 ,,,, 	3 , 	5 , 	6 , 	6 , 	3 , 	10 , 	3 ,,,,
Nepal,NSO/CTS, 	635 , 	848 , 	858 , 	757 , 	936 , 	878 , 	610 , 	841 , 	892 , 	806 , 	813 , 	679 , 	642 , 	606 , 	558 ,, 	627 ,
Pakistan,NSO," 	8,906 "," 	9,593 "," 	9,466 "," 	9,346 "," 	9,614 "," 	9,782 "," 	10,048 "," 	10,556 "," 	12,059 "," 	12,491 "," 	13,190 "," 	13,860 "," 	13,846 "," 	13,937 "," 	13,276 "," 	9,486 "," 	8,516 ",
Sri Lanka*,CTS/NP,,,," 	1,310 "," 	1,377 "," 	1,219 "," 	2,044 ",," 	2,002 "," 	1,099 ", 	763 , 	732 , 	676 , 	619 , 	553 , 	487 , 	530 ,
Armenia,TSMNEE/CTS, 	91 , 	88 , 	69 , 	76 , 	83 , 	58 , 	79 , 	77 , 	97 , 	97 , 	56 , 	71 , 	65 , 	63 , 	72 , 	75 , 	87 ,
Azerbaijan,UNSDC/CTS, 	226 , 	218 , 	212 , 	183 , 	201 , 	192 , 	190 , 	189 , 	192 ,, 	206 ,, 	202 , 	221 , 	236 ,, 	208 ,
Bahrain,UNSDC/CTS/NP/MD,, 	9 , 	8 , 	3 , 	7 , 	4 , 	7 , 	4 , 	6 , 	13 , 	11 , 	7 , 	4 , 	5 , 	7 ,,,
Cyprus,EUR/UNSDC/CTS, 	8 , 	7 , 	2 , 	14 , 	16 , 	20 , 	15 , 	13 , 	9 , 	19 , 	8 , 	9 , 	22 , 	12 , 	11 , 	15 , 	13 ,
Georgia,UNSDC/TSMNEE/CTS, 	239 , 	263 , 	292 , 	302 , 	298 , 	403 , 	323 , 	330 , 	263 , 	210 , 	187 ,,,, 	108 ,, 	39 ,
Iraq**,CTS,,,,,,,,," 	4,596 "," 	2,554 "," 	2,691 "," 	2,634 "," 	2,697 "," 	3,339 ",,,,
Iraq (Central Iraq)**,CTS,,,,,,,,," 	4,452 "," 	2,458 "," 	2,553 "," 	2,518 "," 	2,594 "," 	3,228 "," 	3,029 ",,,
