"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=0000000000000000000000000000000000000000000000000000000f&c=ruvvvvvfvtvnvv1vrvvvvfvvvvvvfvvvou20evvvvvvvvvvvvuvs&ct=0&tl_id=40-A&vs=INTL.4008-8-AFG-MMTCD.A&cy=2015&vo=0&v=H&start=2015&end=2016&showdm=y"
"Tue Oct 15 2019 17:17:10 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,2015,2016
"","Emissions","MMtons CO2"
"","Emissions",""
"","CO2 Emissions",""
"","CO2 Emissions",""
"","Bermuda","MMtons CO2",0,-
"","Bhutan","MMtons CO2",0.13042030969418,0.1417646333148
"","Bolivia","MMtons CO2",9.878588555538E-5,-
"","Bosnia and Herzegovina","MMtons CO2",12.834787538269,12.960721097316
"","Botswana","MMtons CO2",2.7646857438902,2.699950181106
"","Brazil","MMtons CO2",71.990236768804,61.920308425148
"","British Virgin Islands","MMtons CO2",0,-
"","Brunei","MMtons CO2",0,-
"","Bulgaria","MMtons CO2",26.719791541709,22.978728576932
"","Burkina Faso","MMtons CO2",0,-
"","Burundi","MMtons CO2",0,-
"","Cambodia","MMtons CO2",2.3850111442284,2.8005430345255
"","Cameroon","MMtons CO2",0,-
"","Canada","MMtons CO2",75.148199644733,71.588344445504
"","Cape Verde","MMtons CO2",0,-
"","Cayman Islands","MMtons CO2",0,-
"","Central African Republic","MMtons CO2",0,-
"","Chad","MMtons CO2",0,-
"","Chile","MMtons CO2",24.500506601704,25.86912545745
"","China","MMtons CO2",8591.7388687468,8506.6515084073
"","Colombia","MMtons CO2",18.236060330149,19.805535176573
"","Comoros","MMtons CO2",0,-
"","Congo-Brazzaville","MMtons CO2",0,-
"","Congo-Kinshasa","MMtons CO2",0.030673533380282,0.027590852997036
"","Cook Islands","MMtons CO2",0,-
"","Costa Rica","MMtons CO2",0.0012370509793563,0.0015741130353311
"","Cote dIvoire","MMtons CO2",0,-
"","Croatia","MMtons CO2",2.3798872265012,2.5614185304371
"","Cuba","MMtons CO2",0.0170217073478,0.018621203684882
"","Cyprus","MMtons CO2",0.01075159520671,0.00036339137445904
"","Czech Republic","MMtons CO2",62.858910149905,64.4958743315
"","Denmark","MMtons CO2",6.8370811863092,7.8846262882359
"","Djibouti","MMtons CO2",0,-
"","Dominica","MMtons CO2",0,-
"","Dominican Republic","MMtons CO2",2.5500799619159,2.6963159981438
